name,category_id,photo,description
Грибы портобелло (жареные),21,products/грибы_портобелло_(жареные),
Грибы портобелло (сырые),21,products/грибы_портобелло_(сырые),
Грибы сморчки (сырые),21,products/грибы_сморчки_(сырые),
Грибы соломенные (консервированные),21,products/грибы_соломенные_(консервированные),
Грибы шиитаке (приготовленные),21,products/грибы_шиитаке_(приготовленные),
Грибы шиитаке (сушёные),21,products/грибы_шиитаке_(сушёные),
Грибы шиитаке (сырые),21,products/грибы_шиитаке_(сырые),
Грибы эноки (сырые),21,products/грибы_эноки_(сырые),
Шампиньоны (консервированные),21,products/шампиньоны_(консервированные),
Шампиньоны (варёные или тушёные),21,products/шампиньоны_(варёные_или_тушёные),
Шампиньоны (сырые),21,products/шампиньоны_(сырые),
Шампиньоны (жареные),21,products/шампиньоны_(жареные),
Шампиньоны коричневые (сырые),21,products/шампиньоны_коричневые_(сырые),
"Булгур (сухой, крупа)",22,"products/булгур_(сухой,_крупа)",
Гречка (крупа гречневая сухая (коричневая)),22,products/гречка_(крупа_гречневая_сухая_(коричневая)),
Гречка зелёная (сухая),22,products/гречка_зелёная_(сухая),
Зёрна кукурузы (сухие),22,products/зёрна_кукурузы_(сухие),
Киноа (крупа сухая),22,products/киноа_(крупа_сухая),
Крупа амарантовая (сухая (семена)),22,products/крупа_амарантовая_(сухая_(семена)),
Крупа кукурузная (сухая),22,products/крупа_кукурузная_(сухая),
Крупа пшеничная (сухая),22,products/крупа_пшеничная_(сухая),
Крупа теф (в сухом виде),22,products/крупа_теф_(в_сухом_виде),
Крупа ячневая (в сухом виде),22,products/крупа_ячневая_(в_сухом_виде),
Кускус (крупа сухая),22,,
Манка (крупа манная сухая),22,products/манка_(крупа_манная_сухая),
Мюсли (в сухом виде (с сухофруктами и орехами)),22,products/мюсли_(в_сухом_виде_(с_сухофруктами_и_орехами)),
"Мюсли запечённые (гранола) (в сухом виде, хрустящие, с мёдом)",22,"products/мюсли_запечённые_(гранола)_(в_сухом_виде,_хрустящие,_с_мёдом)",
Овсянка (крупа овсяная в сухом виде),22,products/овсянка_(крупа_овсяная_в_сухом_виде),
Овсяные хлопья (сухие (быстрого приготовления)),22,products/овсяные_хлопья_(сухие_(быстрого_приготовления)),
Перловка (крупа перловая сухая),22,products/перловка_(крупа_перловая_сухая),
Полба (крупа в сухом виде),22,products/полба_(крупа_в_сухом_виде),
Пшено (крупа пшённая сухая),22,products/пшено_(крупа_пшённая_сухая),
Ржаное зерно (рожь) (в сухом виде),22,,
Сорго (крупа в сухом виде),22,products/сорго_(крупа_в_сухом_виде),
Тритикале (неприготовленная (зерно)),22,products/тритикале_(неприготовленная_(зерно)),
Амарант (зёрна приготовленные),23,products/амарант_(зёрна_приготовленные),
"Булгур (варёный на воде, каша)",23,"products/булгур_(варёный_на_воде,_каша)",
Воздушная пшеница (готовая к употреблению),23,products/воздушная_пшеница_(готовая_к_употреблению),
Воздушный рис (готовый к употреблению),23,products/воздушный_рис_(готовый_к_употреблению),
"Гречка (варёная на воде, гречневая каша)",23,"products/гречка_(варёная_на_воде,_гречневая_каша)",
"Каша овсяная (овсянка) (на воде, приготовленная)",23,"products/каша_овсяная_(овсянка)_(на_воде,_приготовленная)",
"Каша пшеничная (на воде, варёная)",23,"products/каша_пшеничная_(на_воде,_варёная)",
Киноа (варёное на воде),23,products/киноа_(варёное_на_воде),
"Крупа кукурузная (на воде, каша приготовленная)",23,"products/крупа_кукурузная_(на_воде,_каша_приготовленная)",
Кускус (варёный на воде),23,products/кускус_(варёный_на_воде),
Манная каша (на воде),23,products/манная_каша_(на_воде),
"Перловка (варёная на воде, перловая каша)",23,"products/перловка_(варёная_на_воде,_перловая_каша)",
Полба (варёная на воде),23,products/полба_(варёная_на_воде),
Пшено (варёное на воде),23,products/пшено_(варёное_на_воде),
Теф (приготовленный),23,products/теф_(приготовленный),
"Рис (варёный, на воде)",24,"products/рис_(варёный,_на_воде)",
Рис (в сухом виде),24,products/рис_(в_сухом_виде),
Рис бурый (варёный),24,products/рис_бурый_(варёный),
Рис бурый (в сухом виде),24,products/рис_бурый_(в_сухом_виде),
Рис бурый длиннозерный (варёный),24,products/рис_бурый_длиннозерный_(варёный),
Рис бурый длиннозерный (в сухом виде),24,products/рис_бурый_длиннозерный_(в_сухом_виде),
Рис бурый пропаренный (варёный),24,products/рис_бурый_пропаренный_(варёный),
Рис бурый пропаренный (в сухом виде),24,products/рис_бурый_пропаренный_(в_сухом_виде),
Рис дикий (варёный),24,products/рис_дикий_(варёный),
Рис дикий (в сухом виде),24,products/рис_дикий_(в_сухом_виде),
Рис длиннозёрный (в сухом виде),24,products/рис_длиннозёрный_(в_сухом_виде),
Рис длиннозёрный (варёный),24,products/рис_длиннозёрный_(варёный),
Рис клейкий (липкий) (варёный),24,products/рис_клейкий_(липкий)_(варёный),
Рис клейкий (липкий) (в сухом виде),24,products/рис_клейкий_(липкий)_(в_сухом_виде),
Рис круглозёрный (варёный),24,products/рис_круглозёрный_(варёный),
Рис круглозёрный (в сухом виде),24,products/рис_круглозёрный_(в_сухом_виде),
Рис пропаренный (варёный),24,products/рис_пропаренный_(варёный),
Рис пропаренный (в сухом виде),24,products/рис_пропаренный_(в_сухом_виде),
Глютен (клейковина пшеничная) (в сухом виде),25,products/глютен_(клейковина_пшеничная)_(в_сухом_виде),
Крахмал картофельный,25,products/крахмал_картофельный,
Крахмал кукурузный,25,products/крахмал_кукурузный,
Мука арахисовая,25,products/мука_арахисовая,
Мука арроурут,25,products/мука_арроурут,
Мука гречневая,25,products/мука_гречневая,
Мука из бурого риса,25,products/мука_из_бурого_риса,
Мука из тритикале,25,products/мука_из_тритикале,
Мука кукурузная,25,products/мука_кукурузная,
Мука кукурузная белая (маса),25,products/мука_кукурузная_белая_(маса),
Мука кукурузная белая цельнозерновая,25,products/мука_кукурузная_белая_цельнозерновая,
Мука кукурузная жёлтая цельнозерновая,25,products/мука_кукурузная_жёлтая_цельнозерновая,
Мука кунжутная,25,products/мука_кунжутная,
Мука нутовая,25,products/мука_нутовая,
Мука овсяная,25,products/мука_овсяная,
Мука подсолнечная,25,products/мука_подсолнечная,
Мука пшеничная (универсальная),25,products/мука_пшеничная_(универсальная),
Мука пшеничная второго сорта,25,products/мука_пшеничная_второго_сорта,
Мука пшеничная высшего сорта,25,products/мука_пшеничная_высшего_сорта,
Мука пшеничная обойная,25,products/мука_пшеничная_обойная,
Мука пшеничная первого сорта,25,products/мука_пшеничная_первого_сорта,
Мука пшённая,25,products/мука_пшённая,
Мука ржаная,25,products/мука_ржаная,
Мука рисовая,25,products/мука_рисовая,
Мука соевая,25,products/мука_соевая,
Мука сорго,25,products/мука_сорго,
Мука сорго цельнозерновая,25,products/мука_сорго_цельнозерновая,
Мука цельнозерновая (пшеничная),25,products/мука_цельнозерновая_(пшеничная),
Мука ячменная,25,products/мука_ячменная,
Мука ячменная солодовая,25,products/мука_ячменная_солодовая,
Отруби кукурузные (необработанные термически),25,products/отруби_кукурузные_(необработанные_термически),
Отруби овсяные (необработанные термически),25,products/отруби_овсяные_(необработанные_термически),
Отруби пшеничные (необработанные термически),25,products/отруби_пшеничные_(необработанные_термически),
Отруби рисовые (необработанные термически),25,products/отруби_рисовые_(необработанные_термически),
Тапиока (в сухом виде),25,products/тапиока_(в_сухом_виде),
Бразильский орех,26,products/бразильский_орех,
Буковый орешек,26,products/буковый_орешек,
Грецкий орех,26,products/грецкий_орех,
"Каштан (очищенный, свежий)",26,"products/каштан_(очищенный,_свежий)",
Кедровый орех (без скорлупы),26,products/кедровый_орех_(без_скорлупы),
Кешью (жареный),26,products/кешью_(жареный),
Кешью (сырой),26,products/кешью_(сырой),
Миндаль (свежий),26,products/миндаль_(свежий),
Миндаль (жареный),26,products/миндаль_(жареный),
Орех макадамия (жареный),26,products/орех_макадамия_(жареный),
Орех макадамия,26,products/орех_макадамия,
Орех пили,26,products/орех_пили,
Орех серый,26,products/орех_серый,
Пекан,26,products/пекан,
Фисташки (жареные солёные),26,products/фисташки_(жареные_солёные),
"Фисташки (жареные, без соли)",26,"products/фисташки_(жареные,_без_соли)",
Фисташки (свежие),26,products/фисташки_(свежие),
Фундук (свежий),26,products/фундук_(свежий),
Фундук (жареный),26,products/фундук_(жареный),
Чёрный орех,26,products/чёрный_орех,
Блины,27,products/блины,
Булочки (из сладкого дрожжевого теста),27,products/булочки_(из_сладкого_дрожжевого_теста),
Лаваш,27,products/лаваш,
Лепёшка наан (индийская пшеничная лепёшка),27,products/лепёшка_наан_(индийская_пшеничная_лепёшка),
Лепёшка паратха,27,products/лепёшка_паратха,
Пита,27,products/пита,
Пончики,27,products/пончики,
Сухари из хлеба,27,products/сухари_из_хлеба,
Сухари панировочные,27,products/сухари_панировочные,
Тортилья,27,products/тортилья,
Фокачча,27,products/фокачча,
Хлеб белый пшеничный,27,products/хлеб_белый_пшеничный,
Хлеб из овсяных отрубей,27,products/хлеб_из_овсяных_отрубей,
Хлеб из пророщенной пшеницы,27,products/хлеб_из_пророщенной_пшеницы,
Хлеб из пшеничных отрубей,27,products/хлеб_из_пшеничных_отрубей,
Хлеб из рисовых отрубей,27,products/хлеб_из_рисовых_отрубей,
Хлеб мультизерновой,27,products/хлеб_мультизерновой,
Хлеб овсяный,27,products/хлеб_овсяный,
Хлеб пшеничный цельнозерновой,27,products/хлеб_пшеничный_цельнозерновой,
Хлеб ржаной,27,products/хлеб_ржаной,
Хлебцы мультизерновые,27,products/хлебцы_мультизерновые,
Хлебцы ржаные,27,products/хлебцы_ржаные,
Жевательная резинка,28,products/жевательная_резинка,
Зефир (маршмеллоу) в шоколаде,28,products/зефир_(маршмеллоу)_в_шоколаде,
Зефир (маршмэллоу),28,products/зефир_(маршмэллоу),
Ирис,28,products/ирис,
Карамель,28,products/карамель,
Кекс шоколадный (с шоколадной глазурью),28,products/кекс_шоколадный_(с_шоколадной_глазурью),
Конфеты Skittles,28,products/конфеты_skittles,
Коржи бисквитные для торта,28,products/коржи_бисквитные_для_торта,
Коржи шоколадные для торта,28,products/коржи_шоколадные_для_торта,
Крекер,28,products/крекер,
Крендельки (без соли),28,products/крендельки_(без_соли),
Мармелад,28,products/мармелад,
Мёд,28,products/мёд,
Меласса,28,products/меласса,
Мороженое,28,products/мороженое,
Мороженое шоколадное,28,products/мороженое_шоколадное,
Печенье овсяное,28,products/печенье_овсяное,
Помадка,28,products/помадка,
Халва,28,products/халва,
Чизкейк,28,products/чизкейк,
Щербет,28,products/щербет,
Аспартам (заменитель сахара),29,products/аспартам_(заменитель_сахара),
Сахар (сахарный песок),29,products/сахар_(сахарный_песок),
Сахар коричневый,29,products/сахар_коричневый,
Сахарин (заменитель сахара),29,products/сахарин_(заменитель_сахара),
"Сироп агавы (заменитель сахара, подсластитель)",29,"products/сироп_агавы_(заменитель_сахара,_подсластитель)",
Стевия (сахарозаменитель) (заменитель сахара),29,products/стевия_(сахарозаменитель)_(заменитель_сахара),
Сукралоза (заменитель сахара),29,products/сукралоза_(заменитель_сахара),
Фруктоза (заменитель сахара),29,products/фруктоза_(заменитель_сахара),
Шоколад Dove (молочный),30,products/шоколад_dove_(молочный),
Шоколад Dove (тёмный),30,products/шоколад_dove_(тёмный),
Шоколад белый,30,products/шоколад_белый,
Шоколад молочный,30,products/шоколад_молочный,
Шоколад тёмный (45-59% какао),30,products/шоколад_тёмный_(45-59%_какао),
Шоколад тёмный (60-69% какао),30,products/шоколад_тёмный_(60-69%_какао),
Шоколад тёмный (70-85% какао),30,products/шоколад_тёмный_(70-85%_какао),
Шоколадный батончик KitKat,30,products/шоколадный_батончик_kitkat,
Шоколадный батончик Mars (миндальный),30,products/шоколадный_батончик_mars_(миндальный),
Шоколадный батончик Milky Way,30,products/шоколадный_батончик_milky_way,
Шоколадный батончик Snickers,30,products/шоколадный_батончик_snickers,
Шоколадный батончик Twix,30,products/шоколадный_батончик_twix,
"Лапша (макароны, паста) (варёная)",31,"products/лапша_(макароны,_паста)_(варёная)",
"Лапша (макароны, паста) (в сухом виде)",31,"products/лапша_(макароны,_паста)_(в_сухом_виде)",
Лапша гречневая (соба) (варёная),31,products/лапша_гречневая_(соба)_(варёная),
Лапша гречневая (соба) (в сухом виде),31,products/лапша_гречневая_(соба)_(в_сухом_виде),
Лапша домашняя (варёная),31,products/лапша_домашняя_(варёная),
Лапша из цельнозерновой пшеницы (варёные),31,products/лапша_из_цельнозерновой_пшеницы_(варёные),
Лапша из цельнозерновой пшеницы (в сухом виде),31,products/лапша_из_цельнозерновой_пшеницы_(в_сухом_виде),
Лапша кукурузная (варёная),31,products/лапша_кукурузная_(варёная),
Лапша кукурузная (в сухом виде),31,products/лапша_кукурузная_(в_сухом_виде),
Лапша пшеничная (удон) (варёная),31,products/лапша_пшеничная_(удон)_(варёная),
Лапша пшеничная (удон) (в сухом виде),31,products/лапша_пшеничная_(удон)_(в_сухом_виде),
Лапша рисовая (варёная),31,products/лапша_рисовая_(варёная),
Лапша рисовая (в сухом виде),31,products/лапша_рисовая_(в_сухом_виде),
Лапша яичная (в сухом виде),31,products/лапша_яичная_(в_сухом_виде),
Лапша яичная (варёная),31,products/лапша_яичная_(варёная),
Белок куриного яйца (в виде порошка),32,products/белок_куриного_яйца_(в_виде_порошка),
Желток куриного яйца (в виде порошка),32,products/желток_куриного_яйца_(в_виде_порошка),
Заменители яиц (в виде порошка),32,products/заменители_яиц_(в_виде_порошка),
Омлет яичный,32,products/омлет_яичный,
Яичный белок (в сыром виде),32,products/яичный_белок_(в_сыром_виде),
Яичный желток (в сыром виде),32,products/яичный_желток_(в_сыром_виде),
Яйцо гусиное (сырое),32,products/яйцо_гусиное_(сырое),
Яйцо индейки (сырое),32,products/яйцо_индейки_(сырое),
Яйцо куриное (жареное),32,products/яйцо_куриное_(жареное),
"Яйцо куриное (варёное, вкрутую)",32,"products/яйцо_куриное_(варёное,_вкрутую)",
Яйцо куриное (сырое),32,products/яйцо_куриное_(сырое),
Яйцо перепелиное (сырое),32,products/яйцо_перепелиное_(сырое),
Яйцо утиное (сырое),32,products/яйцо_утиное_(сырое),
Сыр cливочный,33,products/сыр_cливочный,
Сыр Бри,33,products/сыр_бри,
Сыр Брюнуст,33,products/сыр_брюнуст,
Сыр Гауда,33,products/сыр_гауда,
Сыр Грюйер,33,products/сыр_грюйер,
Сыр Камамбер,33,products/сыр_камамбер,
Сыр Кесо Фреско,33,products/сыр_кесо_фреско,
Сыр козий,33,products/сыр_козий,
Сыр Колби,33,products/сыр_колби,
Сыр Лимбургер,33,products/сыр_лимбургер,
Сыр мексиканский Аньехо,33,products/сыр_мексиканский_аньехо,
Сыр мексиканский Кесо Чихуахуа,33,products/сыр_мексиканский_кесо_чихуахуа,
Сыр мексиканский Котиха,33,products/сыр_мексиканский_котиха,
Сыр мексиканский Оахака,33,products/сыр_мексиканский_оахака,
Сыр Монтерей,33,products/сыр_монтерей,
Сыр Моцарелла,33,products/сыр_моцарелла,
Сыр Мюнстер,33,products/сыр_мюнстер,
Сыр Нёшатель,33,products/сыр_нёшатель,
Сыр Пармезан,33,products/сыр_пармезан,
Сыр Пекорино Романо,33,products/сыр_пекорино_романо,
Сыр плавленый,33,products/сыр_плавленый,
Сыр Пор-Салю,33,products/сыр_пор-салю,
Сыр Проволоне,33,products/сыр_проволоне,
Сыр Рикотта,33,products/сыр_рикотта,
Сыр Рокфор,33,products/сыр_рокфор,
Сыр Тильзитер,33,products/сыр_тильзитер,
Сыр фета,33,products/сыр_фета,
Сыр Филадельфия,33,products/сыр_филадельфия,
Сыр Фонтина,33,products/сыр_фонтина,
Сыр Чеддер,33,products/сыр_чеддер,
Сыр Чешир,33,products/сыр_чешир,
Сыр швейцарский,33,products/сыр_швейцарский,
Сыр Эдам,33,products/сыр_эдам,
Сыры с плесенью,33,products/сыры_с_плесенью,
Йогурт,34,products/йогурт,
Кефир,34,products/кефир,
Масло сливочное,34,products/масло_сливочное,
"Молоко (цельное коровье 3,7% жирности)",34,"products/молоко_(цельное_коровье_3,7%_жирности)",
Молоко грудное женское,34,products/молоко_грудное_женское,
Молоко козье,34,products/молоко_козье,
Молоко коровье (2% жирности),34,products/молоко_коровье_(2%_жирности),
Молоко овечье,34,products/молоко_овечье,
Молоко сгущённое,34,products/молоко_сгущённое,
Молоко сухое,34,products/молоко_сухое,
Молочная сыворотка,34,products/молочная_сыворотка,
Ряженка,34,products/ряженка,
Сметана,34,products/сметана,
Сметена обезжиренная,34,products/сметена_обезжиренная,
Творог 2% жирности,34,products/творог_2%_жирности,
Жир бараний (сырой),35,products/жир_бараний_(сырой),
Жир говяжий (сырой),35,products/жир_говяжий_(сырой),
Жир гусиный (сырой),35,products/жир_гусиный_(сырой),
Жир индейки (сырой),35,products/жир_индейки_(сырой),
Жир куриный (сырой),35,products/жир_куриный_(сырой),
Жир лосося (сырой),35,products/жир_лосося_(сырой),
Жир печени трески (сырой),35,products/жир_печени_трески_(сырой),
Жир сардин (сырой),35,products/жир_сардин_(сырой),
Жир свиной (сало свиное) (сырой),35,products/жир_свиной_(сало_свиное)_(сырой),
Жир сельди (сырой),35,products/жир_сельди_(сырой),
Жир утиный (сырой),35,products/жир_утиный_(сырой),
Сало свиное топлёное (смалец),35,products/сало_свиное_топлёное_(смалец),
Маргарин,36,products/маргарин,
Масло абрикосовое,36,products/масло_абрикосовое,
Масло авокадо,36,products/масло_авокадо,
Масло арахисовое,36,products/масло_арахисовое,
Масло бабассу,36,products/масло_бабассу,
Масло виноградных косточек,36,products/масло_виноградных_косточек,
Масло горчичное,36,products/масло_горчичное,
Масло грецкого ореха,36,products/масло_грецкого_ореха,
Масло зародышей пшеницы,36,products/масло_зародышей_пшеницы,
Масло какао,36,products/масло_какао,
Масло канолы,36,products/масло_канолы,
Масло кокосовое,36,products/масло_кокосовое,
Масло кукурузное,36,products/масло_кукурузное,
Масло кунжутное,36,products/масло_кунжутное,
Масло льняное,36,products/масло_льняное,
Масло маковое,36,products/масло_маковое,
Масло миндальное,36,products/масло_миндальное,
Масло овса,36,products/масло_овса,
Масло оливковое,36,products/масло_оливковое,
Масло пальмовое,36,products/масло_пальмовое,
Масло подсолнечное,36,products/масло_подсолнечное,
Масло рисовых отрубей,36,products/масло_рисовых_отрубей,
Масло сафлоровое,36,products/масло_сафлоровое,
Масло соевое,36,products/масло_соевое,
Масло фундука,36,products/масло_фундука,
Масло хлопковое,36,products/масло_хлопковое,
Масло ши (карите),36,products/масло_ши_(карите),
Какао-порошок,37,products/какао-порошок,
Кола,37,products/кола,
Кола (без кофеина),37,products/кола_(без_кофеина),
Кофе зерновой (сваренный),37,products/кофе_зерновой_(сваренный),
Кофе растворимый (приготовленный),37,products/кофе_растворимый_(приготовленный),
Кофе с молоком и сахаром,37,products/кофе_с_молоком_и_сахаром,
Кофе эспрессо (в готовом виде),37,products/кофе_эспрессо_(в_готовом_виде),
Цикорий (растворимый (кофе в готовом виде)),37,products/цикорий_(растворимый_(кофе_в_готовом_виде)),
Чай Nestea (чёрный с лимоном),37,products/чай_nestea_(чёрный_с_лимоном),
"Чай зелёный (без сахара, приготовленный)",37,"products/чай_зелёный_(без_сахара,_приготовленный)",
"Чай зелёный (с сахаром, приготовленный)",37,"products/чай_зелёный_(с_сахаром,_приготовленный)",
"Чай чёрный (без сахара, приготовленный)",37,"products/чай_чёрный_(без_сахара,_приготовленный)",
"Чай чёрный (с сахаром и лимоном, приготовленный)",37,"products/чай_чёрный_(с_сахаром_и_лимоном,_приготовленный)",
Энергетический напиток Monster Energy,37,products/энергетический_напиток_monster_energy,
Энергетический напиток Red Bull,37,products/энергетический_напиток_red_bull,
Вино (столовое),38,products/вино_(столовое),
Вино белое (столовое),38,products/вино_белое_(столовое),
Вино десертное сладкое,38,products/вино_десертное_сладкое,
Вино десертное сухое,38,products/вино_десертное_сухое,
Вино красное (столовое),38,products/вино_красное_(столовое),
Вино розовое,38,products/вино_розовое,
Виски (43 градуса алкоголя),38,products/виски_(43_градуса_алкоголя),
Водка (40 градусов алкоголя),38,products/водка_(40_градусов_алкоголя),
Джин (45 градусов алкоголя),38,products/джин_(45_градусов_алкоголя),
Пиво (тёмное или светлое),38,products/пиво_(тёмное_или_светлое),
Ром (40 градусов алкоголя),38,products/ром_(40_градусов_алкоголя),
Сакэ,38,products/сакэ,
Уксус,39,products/уксус,
Уксус бальзамический,39,products/уксус_бальзамический,
Уксус винный (красный),39,products/уксус_винный_(красный),
Уксус яблочный,39,products/уксус_яблочный,
"Горчица (столовая, пастообразная)",40,"products/горчица_(столовая,_пастообразная)",
Кетчуп,40,products/кетчуп,
Майонез,40,products/майонез,
"Хрен (столовый, готовый к употреблению)",40,"products/хрен_(столовый,_готовый_к_употреблению)",
Гамбургер (Макдоналдс),41,products/гамбургер_(макдоналдс),
Картофель фри,41,products/картофель_фри,
Луковые кольца,41,products/луковые_кольца,
Попкорн без соли,41,products/попкорн_без_соли,
Попкорн карамельный,41,products/попкорн_карамельный,
Попкорн солёный,41,products/попкорн_солёный,
Хот-дог,41,products/хот-дог,
Чизбургер (Макдоналдс),41,products/чизбургер_(макдоналдс),
Чипсы картофельные (без соли),41,products/чипсы_картофельные_(без_соли),
Чипсы кукурузные (начос) (без соли),41,products/чипсы_кукурузные_(начос)_(без_соли),
Протеин сывороточный (порошок),42,products/протеин_сывороточный_(порошок),
Протеиновые добавки на основе молока (порошок),42,products/протеиновые_добавки_на_основе_молока_(порошок),
Соевый протеин (порошок),42,products/соевый_протеин_(порошок),
Соевый протеин (изолят) (порошок),42,products/соевый_протеин_(изолят)_(порошок),
Соевый протеин (концентрат) (порошок),42,products/соевый_протеин_(концентрат)_(порошок),
Анчоусы (сырые),43,products/анчоусы_(сырые),
Горбуша (сырая),43,products/горбуша_(сырая),
Горбыль (сырой),43,products/горбыль_(сырой),
Групер (сырой),43,products/групер_(сырой),
Желтохвост (лакедра) (сырой),43,products/желтохвост_(лакедра)_(сырой),
Зубатка (сырая),43,products/зубатка_(сырая),
Камбала (сырая),43,products/камбала_(сырая),
Карп (сырой),43,products/карп_(сырой),
Кета (сырая),43,products/кета_(сырая),
Кефаль (сырая),43,products/кефаль_(сырая),
Кижуч (сырой),43,products/кижуч_(сырой),
Корюшка (сырая),43,products/корюшка_(сырая),
Луциан (берикс) (сырой),43,products/луциан_(берикс)_(сырой),
Масляная рыба (эсколар) (сырая),43,products/масляная_рыба_(эсколар)_(сырая),
Махи-махи (корифена) (сырая),43,products/махи-махи_(корифена)_(сырая),
Менёк (сырой),43,products/менёк_(сырой),
Мерланг (сырой),43,products/мерланг_(сырой),
Минтай (сырой),43,products/минтай_(сырой),
Молочная рыба (ханос) (сырая),43,products/молочная_рыба_(ханос)_(сырая),
Мольва (сырая),43,products/мольва_(сырая),
Морской чёрт (сырой),43,products/морской_чёрт_(сырой),
Мясо акулы (сырое),43,products/мясо_акулы_(сырое),
Налим (сырой),43,products/налим_(сырой),
Нерка (сырая),43,products/нерка_(сырая),
Окунь морской (красный) (сырой),43,products/окунь_морской_(красный)_(сырой),
Окунь речной (сырой),43,products/окунь_речной_(сырой),
Омуль (сырой),43,products/омуль_(сырой),
Осётр (сырой),43,products/осётр_(сырой),
Палтус (сырой),43,products/палтус_(сырой),
Рыба-меч (сырая),43,products/рыба-меч_(сырая),
Сельдь (сырая),43,products/сельдь_(сырая),
Сёмга (сырая),43,products/сёмга_(сырая),
Сибас (сырой),43,products/сибас_(сырой),
Скумбрия (сырая),43,products/скумбрия_(сырая),
Сом (сырой),43,products/сом_(сырой),
Судак (сырой),43,products/судак_(сырой),
Сурими (сырой),43,products/сурими_(сырой),
Терпуг (сырой),43,products/терпуг_(сырой),
Тилапия (сырая),43,products/тилапия_(сырая),
Треска (сырая),43,products/треска_(сырая),
Угорь (сырой),43,products/угорь_(сырой),
Форель (сырая),43,products/форель_(сырая),
Чавыча (сырая),43,products/чавыча_(сырая),
Щука (сырая),43,products/щука_(сырая),
"Анчоусы (консервированные, в масле)",44,"products/анчоусы_(консервированные,_в_масле)",
Горбуша (запечённая),44,products/горбуша_(запечённая),
Горбыль (жареный),44,products/горбыль_(жареный),
Групер (запечённый),44,products/групер_(запечённый),
Желтохвост (лакедра) (запечённый),44,products/желтохвост_(лакедра)_(запечённый),
Зубатка (запечённая),44,products/зубатка_(запечённая),
Камбала (жареная),44,products/камбала_(жареная),
Карп (запечённый),44,products/карп_(запечённый),
Кета (запечённая),44,products/кета_(запечённая),
Кефаль (запечённая),44,products/кефаль_(запечённая),
Кижуч (запечённый),44,products/кижуч_(запечённый),
Корюшка (жареная),44,products/корюшка_(жареная),
Луциан (берикс) (запечённый),44,products/луциан_(берикс)_(запечённый),
Масляная рыба (эсколар) (копчёная),44,products/масляная_рыба_(эсколар)_(копчёная),
Махи-махи (корифена) (запечённая),44,products/махи-махи_(корифена)_(запечённая),
Менёк (запечённый),44,products/менёк_(запечённый),
Мерланг (запечённый),44,products/мерланг_(запечённый),
Минтай (запечённый),44,products/минтай_(запечённый),
Молочная рыба (ханос) (запечённая),44,products/молочная_рыба_(ханос)_(запечённая),
Мольва (запечённая),44,products/мольва_(запечённая),
Морской чёрт (приготовленный),44,products/морской_чёрт_(приготовленный),
Мясо акулы (жареное),44,products/мясо_акулы_(жареное),
Налим (запечённый),44,products/налим_(запечённый),
Нерка (запечённая),44,products/нерка_(запечённая),
Окунь морской (красный) (запечённый),44,products/окунь_морской_(красный)_(запечённый),
Окунь речной (запечённый),44,products/окунь_речной_(запечённый),
Омуль (запечённый),44,products/омуль_(запечённый),
Осётр (запечённый),44,products/осётр_(запечённый),
Палтус (запечённый),44,products/палтус_(запечённый),
Рыба-меч (запечённая),44,products/рыба-меч_(запечённая),
Сардина (консервированная в масле),44,products/сардина_(консервированная_в_масле),
Сельдь (запечённая),44,products/сельдь_(запечённая),
Сельдь (копчёная),44,products/сельдь_(копчёная),
Сельдь (солёная),44,products/сельдь_(солёная),
Сёмга (запечённая),44,products/сёмга_(запечённая),
Сибас (запечённый),44,products/сибас_(запечённый),
Скумбрия (запечённая),44,products/скумбрия_(запечённая),
Скумбрия (солёная),44,products/скумбрия_(солёная),
Сом (жареный),44,products/сом_(жареный),
Ставрида (консервированная),44,products/ставрида_(консервированная),
Судак (запечённый),44,products/судак_(запечённый),
Терпуг (запечённый),44,products/терпуг_(запечённый),
Тилапия (запечённая),44,products/тилапия_(запечённая),
Треска (запечённая),44,products/треска_(запечённая),
Тунец (консервированный в собственном соку),44,products/тунец_(консервированный_в_собственном_соку),
Угорь (запечённый или копчёный),44,products/угорь_(запечённый_или_копчёный),
Форель (запечённая),44,products/форель_(запечённая),
Чавыча (запечённая),44,products/чавыча_(запечённая),
Щука (приготовленная),44,products/щука_(приготовленная),
"Кальмар (приготовленный, жареный)",45,"products/кальмар_(приготовленный,_жареный)",
Кальмар (сырой),45,products/кальмар_(сырой),
Каракатица (приготовленная),45,products/каракатица_(приготовленная),
Каракатица (сырая),45,products/каракатица_(сырая),
Мидии (отварные),45,products/мидии_(отварные),
Мидии (сырые),45,products/мидии_(сырые),
Моллюски (варёные),45,products/моллюски_(варёные),
Моллюски (сырые),45,products/моллюски_(сырые),
Морские ушки (приготовленные),45,products/морские_ушки_(приготовленные),
Морские ушки (сырые),45,products/морские_ушки_(сырые),
Морской гребешок (приготовленный),45,products/морской_гребешок_(приготовленный),
Морской гребешок (сырой),45,products/морской_гребешок_(сырой),
Осьминог (варёный),45,products/осьминог_(варёный),
Осьминог (сырой),45,products/осьминог_(сырой),
Улитки (сырые),45,products/улитки_(сырые),
Устрицы (запечённые),45,products/устрицы_(запечённые),
Устрицы (сырые),45,products/устрицы_(сырые),
Камчатский краб (варёный),46,products/камчатский_краб_(варёный),
Камчатский краб (сырой),46,products/камчатский_краб_(сырой),
